name	intensity-avg	volume
Left-Lateral-Ventricle	45.7409	3952.6
Left-Inf-Lat-Vent	54.2455	137.3
Left-Cerebellum-White-Matter	83.5692	15106.4
Left-Cerebellum-Cortex	70.3866	55683.3
Left-Thalamus-Proper	89.4893	8475.0
Left-Caudate	81.7857	3900.6
Left-Putamen	85.5664	5804.1
Left-Pallidum	94.2462	2132.5
3rd-Ventricle	53.8634	751.2
4th-Ventricle	38.3205	2665.9
Brain-Stem	82.2201	20741.9
Left-Hippocampus	74.3193	4050.8
Left-Amygdala	76.3396	1503.9
CSF	59.9351	952.4
Left-Accumbens-area	79.5544	430.5
Left-VentralDC	89.9132	4659.6
Left-vessel	0.0	0.0
Left-choroid-plexus	53.868	175.7
Right-Lateral-Ventricle	46.2988	3745.2
Right-Inf-Lat-Vent	51.419	143.8
Right-Cerebellum-White-Matter	83.1443	13534.6
Right-Cerebellum-Cortex	69.7383	56614.0
Right-Thalamus-Proper	88.8494	7738.7
Right-Caudate	77.9968	3754.5
Right-Putamen	84.0456	5911.5
Right-Pallidum	93.4205	2298.2
Right-Hippocampus	74.709	4340.4
Right-Amygdala	74.9392	1672.2
Right-Accumbens-area	78.3448	483.0
Right-VentralDC	89.4245	4332.5
Right-vessel	63.0	6.6
Right-choroid-plexus	59.0	270.7
5th-Ventricle	0.0	0.0
WM-hypointensities	75.8558	1135.9
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	85.7067	88.1
CC_Posterior	93.6495	926.7
CC_Mid_Posterior	92.1516	481.4
CC_Central	90.0531	762.6
CC_Mid_Anterior	86.7853	689.2
CC_Anterior	96.027	792.0
