name	intensity-avg	volume
Left-Lateral-Ventricle	39.6016	11099.3
Left-Inf-Lat-Vent	55.0714	155.9
Left-Cerebellum-White-Matter	83.6947	16819.1
Left-Cerebellum-Cortex	68.2963	63953.5
Left-Thalamus-Proper	91.3634	9176.7
Left-Caudate	80.9898	4612.8
Left-Putamen	87.7337	6126.0
Left-Pallidum	95.9085	2458.5
3rd-Ventricle	50.541000000000004	1082.0
4th-Ventricle	36.9713	1976.5
Brain-Stem	82.0662	23514.0
Left-Hippocampus	74.6017	4625.5
Left-Amygdala	75.7118	1838.3
CSF	64.1337	1219.0
Left-Accumbens-area	80.9115	467.5
Left-VentralDC	91.2074	4965.3
Left-vessel	0.0	0.0
Left-choroid-plexus	50.125	568.4
Right-Lateral-Ventricle	41.8658	7562.8
Right-Inf-Lat-Vent	51.1591	189.3
Right-Cerebellum-White-Matter	83.5482	16083.4
Right-Cerebellum-Cortex	68.5603	66040.8
Right-Thalamus-Proper	92.1081	9158.2
Right-Caudate	79.9338	4338.7
Right-Putamen	86.1906	6010.8
Right-Pallidum	94.7339	2215.7
Right-Hippocampus	74.8596	4857.7
Right-Amygdala	74.9672	1965.1
Right-Accumbens-area	80.7523	668.2
Right-VentralDC	90.848	4783.8
Right-vessel	53.5	11.4
Right-choroid-plexus	56.4804	420.1
5th-Ventricle	0.0	0.0
WM-hypointensities	74.8502	1162.0
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	68.1724	20.2
CC_Posterior	95.8769	1208.4
CC_Mid_Posterior	92.8636	869.1
CC_Central	89.6878	1303.1
CC_Mid_Anterior	89.4237	1316.9
CC_Anterior	95.2723	1095.0
